구분(4),구분(1)_x,구분(2)_x,구분(3)_x,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,구분(1)_y,구분(2)_y,구분(3)_y,2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.10,2011.11,2011.12
반곡동,도시대기,강원,원주,-,-,-,-,-,-,33,27,19,31,42*,43,,,,,,,,,,,,,,,
반송로,도로변대기,경남,창원,45,57,55,46,53,39,-,-,-,23,31,30,도로변대기,경남,창원,44,74,68,64,74,54,45,43,43,51,50,46
반포동,,,,,,,,,,,,,,,,도시대기,서울,서초구,46,80,71,59,75,46,28,27,31,48,43,50
방산면,교외대기,강원,양구,41**,-,-,-,30,17,27,25,12,18,27,28,교외대기,강원,양구,38,54,63,54,69,38,28,27,28,37,40,41
방이동,,,,,,,,,,,,,,,,도시대기,서울,송파구,46,76,64,57,70,43,26,24,29,44,38,48
배방읍,도시대기,충남,아산,69,65,77,53,64,47,37,36,33,45,50,43,,,,,,,,,,,,,,,
백령도,국가배경농도,인천,옹진군,54,51,58,42,46,21,25,27,30,52,35,38,,,,,,,,,,,,,,,
백마로(마두역),도로변대기,경기,고양,59,61,79,53,72,41,32,35,30,42,51,49,도로변대기,경기,고양,59,87,77,67,83,56,41,42,43,57,50,54
백석동,도시대기,충남,천안,74,68,75,50,50,35,27,30,24,29,40,36,도시대기,충남,천안,41,80,69,57,73,58,26,24,32,57,55,56
백석읍,도시대기,경기,양주,81,59,69,39,52,26,24,22,22,34,43,43,,,,,,,,,,,,,,,
백암면,도시대기,경기,용인,-,-,-,-,61,36,29,32,26,40,52,53,,,,,,,,,,,,,,,
번동,,,,,,,,,,,,,,,,도시대기,서울,강북구,36,65,57,51,56,35,26,26,25,33,30,32
벌교읍,도시대기,전남,보성,-,-,-,-,-,-,-,-,23,26,38,33,,,,,,,,,,,,,,,
별내동,도시대기,경기,남양주,64,52,64,40,53,30,28,24,19,31,41,40,,,,,,,,,,,,,,,
별양동,도시대기,경기,과천,69,59,71,44,60,36,33,31,27,37,47,45,도시대기,경기,과천,48,83,73,62,78,48,31,31,32,46,40,50
보덕동,도시대기,경북,경주,-,-,-,-,-,-,-,-,-,-,-,17**,,,,,,,,,,,,,,,
보산동,도시대기,경기,동두천,74,57,68,42,51,28,24,25,21,33,47,48,도시대기,경기,동두천,107,106,96,82,84,58,45,43,48,73,68,86
보은읍,도시대기,충북,보은,71,63,65,40,44,26,16,22,18,29,42,44,,,,,,,,,,,,,,,
복대동,도로변대기,충북,청주,74,91,79,50,55,42,30,28,25,35,50,50,도로변대기,충북,청주,66,118,92,79,75,61,40,40,47,74,71,80
복정동,도시대기,경기,성남,72,61,67,41,51,31,30,32,26,35,44,41,도시대기,경기,성남,37,77,72,63,77,48,33,31,32,45,41,48
본오동,도시대기,경기,안산,69,60,72,44,56,30,29,31,28,38,44,43,도시대기,경기,안산,49,84,72,61,79,46,29,30,34,49,43,47
봉산동,도시대기,경기,안성,75,68,78,47,58,30,23,26,22,37,53,48,도시대기,경기,안성,58,89,72,76,85,63,35,33,37,50,47,54
봉암동,도시대기,경남,창원,46,47,49,40,47,37,31,33,28,30,36,31,도시대기,경남,마산,37,62,57,64,82,56,40,37,34,44,45,39
부강면,도시대기,세종,세종,75,68,74,42,50,30,22,24,22,34,47,50,,,,,,,,,,,,,,,
부곡3동,도시대기,경기,의왕,76,65,75,44,55,33,30,31,28,37,49,51,도시대기,경기,의왕,56,92,79,79,88,71,49,40,41,54,42,55
부곡동,도시대기,부산,금정구,40,41,44,38,44,29,25,29,24,26,31,31,도시대기,부산,금정구,34,54,70,69,93,78,26,22,23,32,30,30
부곡동,도시대기,부산,금정구,40,41,44,38,44,29,25,29,24,26,31,31,도시대기,울산,남구,40,68,68,64,84,65,47,38,38,49,47,38
부곡동,도시대기,부산,금정구,40,41,44,38,44,29,25,29,24,26,31,31,도시대기,경기,안산,64,100,73,63,67,59,45,39,37,55,48,59
